City;Area;Region;Branch;Branch Mapping;Validation
ACEH BARAT;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH BARAT DAYA;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH BESAR;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH JAYA;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH SELATAN;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH SINGKIL;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH TAMIANG;AREA 1;01.SUMBAGUT;WESTERN MEDAN;WESTERN MEDAN;TRUE
ACEH TENGAH;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH TENGGARA;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
ACEH TIMUR;AREA 1;01.SUMBAGUT;WESTERN MEDAN;WESTERN MEDAN;TRUE
ACEH UTARA;AREA 1;01.SUMBAGUT;BANDA ACEH;BANDA ACEH;TRUE
ACEH UTARA;AREA 1;01.SUMBAGUT;WESTERN MEDAN;BANDA ACEH;FALSE
AGAM;AREA 1;02.SUMBAGTENG;PADANG;PADANG;TRUE
ALOR;AREA 3;10.BALI NUSRA;KUPANG;KUPANG;TRUE
ASAHAN;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
ASMAT;AREA 4;13.MALUKU DAN PAPUA;TIMIKA;TIMIKA;TRUE
BABADAN;AREA 3;09.JATIM;MANDIRI;#N/A;#N/A
BADUNG;AREA 3;10.BALI NUSRA;DENPASAR;DENPASAR;TRUE
BALANGAN;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
BANDUNG;AREA 2;07.JABAR;SOREANG;SOREANG;TRUE
BANDUNG;AREA 3;08.JATENG-DIY;PANTURA;SOREANG;FALSE
BANDUNG BARAT;AREA 2;07.JABAR;BANDUNG;BANDUNG;TRUE
BANDUNG BARAT;AREA 2;07.JABAR;SOREANG;BANDUNG;FALSE
BANDUNG BARAT;AREA 3;09.JATIM;MADURA;BANDUNG;FALSE
BANGGAI;AREA 4;12.SULAWESI;PALU;PALU;TRUE
BANGGAI KEPULAUAN;AREA 4;12.SULAWESI;PALU;PALU;TRUE
BANGGAI LAUT;AREA 4;12.SULAWESI;PALU;PALU;TRUE
BANGKA;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
BANGKA BARAT;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
BANGKA SELATAN;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
BANGKA TENGAH;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
BANGKALAN;AREA 3;09.JATIM;SURABAYA;SURABAYA;TRUE
BANGLI;AREA 3;10.BALI NUSRA;DENPASAR;DENPASAR;TRUE
BANGUNASRI;AREA 3;09.JATIM;PONOROGO;#N/A;#N/A
BANJAR;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
BANJARNEGARA;AREA 3;08.JATENG-DIY;PURWOKERTO;PURWOKERTO;TRUE
BANTAENG;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
BANTUL;AREA 3;08.JATENG-DIY;YOGYAKARTA;YOGYAKARTA;TRUE
BANYU ASIN;AREA 1;03.SUMBAGSEL;PALEMBANG;PALEMBANG;TRUE
BANYUMAS;AREA 3;08.JATENG-DIY;PURWOKERTO;PURWOKERTO;TRUE
BANYUWANGI;AREA 3;09.JATIM;JEMBER;JEMBER;TRUE
BARITO KUALA;AREA 4;11.KALIMANTAN;BANJARMASIN;BANJARMASIN;TRUE
BARITO SELATAN;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
BARITO TIMUR;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
BARITO UTARA;AREA 4;11.KALIMANTAN;PALANGKARAYA;PALANGKARAYA;TRUE
BARRU;AREA 4;12.SULAWESI;MAKASSAR;MAKASSAR;TRUE
BATANG;AREA 3;08.JATENG-DIY;PEKALONGAN;PEKALONGAN;TRUE
BATANG HARI;AREA 1;03.SUMBAGSEL;JAMBI;JAMBI;TRUE
BATU BARA;AREA 1;01.SUMBAGUT;PEMATANG SIANTAR;PEMATANG SIANTAR;TRUE
BEKASI;AREA 2;06.EASTERN JABOTABEK;BEKASI;BEKASI;TRUE
BEKASI;AREA 2;06.EASTERN JABOTABEK;KARAWANG;BEKASI;FALSE
BELITUNG;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
BELITUNG TIMUR;AREA 1;03.SUMBAGSEL;PANGKAL PINANG;PANGKAL PINANG;TRUE
