id;AREA;REGIONAL;BRANCH;CLUSTER;CITY
1;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;JAYAPURA
2;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;MAYBRAT
3;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;NABIRE
4;PAMASUKA;KALIMANTAN;PONTIANAK;KHATULISTIWA;KETAPANG
5;PAMASUKA;KALIMANTAN;PONTIANAK;SINTANG;KAPUAS HULU
6;PAMASUKA;KALIMANTAN;PALANGKARAYA;KOTAWARINGIN;KOTA WARINGIN BARAT
7;PAMASUKA;KALIMANTAN;PALANGKARAYA;BARITO;BARITO UTARA
8;PAMASUKA;KALIMANTAN;PALANGKARAYA;PALANGKARAYA INNER;GUNUNG MAS
9;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;TELUK WONDAMA
10;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;TELUK BINTUNI
11;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;MAPPI
12;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;KEPULAUAN YAPEN
13;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;BIAK NUMFOR
14;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;ASMAT
15;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;YAHUKIMO
16;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;PEGUNUNGAN BINTANG
17;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;TOLIKARA
18;PAMASUKA;SULAWESI;MANADO;TERNATE;HALMAHERA UTARA
19;PAMASUKA;KALIMANTAN;SAMARINDA;BONTANG;KUTAI TIMUR
20;PAMASUKA;KALIMANTAN;TARAKAN;KALTARA;NUNUKAN
21;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;KOTA KUPANG;TIMOR TENGAH SELATAN
22;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;FLORES TIMUR
23;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;ENDE
24;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;SUMBA BARAT DAYA
25;PAMASUKA;KALIMANTAN;PONTIANAK;SAMBAS;SAMBAS
26;PAMASUKA;KALIMANTAN;PALANGKARAYA;KOTAWARINGIN;KOTA WARINGIN TIMUR
27;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;JAYAWIJAYA
28;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;WAROPEN
29;PAMASUKA;SULAWESI;MANADO;TERNATE;HALMAHERA SELATAN
30;PAMASUKA;MALUKU DAN PAPUA;SORONG;SORONG RAJA AMPAT;RAJA AMPAT
31;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;LEMBATA
32;PAMASUKA;KALIMANTAN;BANJARMASIN;BATULICIN;KOTA BARU
33;PAMASUKA;KALIMANTAN;BANJARMASIN;BANJAR;BANJAR
34;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;TAMBRAUW
35;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;TIMIKA;MIMIKA
36;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;BOVEN DIGOEL
37;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;KOTA KUPANG;TIMOR TENGAH UTARA
38;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;PUNCAK
39;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;DOGIYAI
40;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;INTAN JAYA
41;JAWA - BALI - NUSRA;BALI NUSRA;MATARAM;MATARAM;SUMBAWA
42;JAWA - BALI - NUSRA;JATIM;MALANG;MALANG;MALANG
43;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;MANGGARAI BARAT
44;PAMASUKA;KALIMANTAN;PALANGKARAYA;BARITO;BARITO SELATAN
45;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;MANOKWARI
46;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;KEEROM
47;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;JAYAPURA;KOTA JAYAPURA
48;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;SUMBA TENGAH
49;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;KOTA KUPANG;KOTA KUPANG
50;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;TAPIN
51;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;TABALONG
52;PAMASUKA;KALIMANTAN;SAMARINDA;KUTAI;KUTAI BARAT
53;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;MANOKWARI SELATAN
54;PAMASUKA;MALUKU DAN PAPUA;SORONG;SORONG RAJA AMPAT;SORONG
55;PAMASUKA;KALIMANTAN;PONTIANAK;SINTANG;SANGGAU
56;PAMASUKA;KALIMANTAN;SAMARINDA;KUTAI;MAHAKAM ULU
57;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;PEGUNUNGAN ARFAK
58;PAMASUKA;SULAWESI;MANADO;TERNATE;HALMAHERA BARAT
59;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;LANNY JAYA
60;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;SARMI
61;PAMASUKA;SULAWESI;MANADO;TERNATE;PULAU MOROTAI
62;PAMASUKA;SULAWESI;PALU;LUWUK BANGGAI;PULAU TALIABU
63;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;SORONG SELATAN
64;PAMASUKA;MALUKU DAN PAPUA;AMBON;KEPULAUAN TUAL;KOTA TUAL
65;PAMASUKA;SULAWESI;MANADO;TERNATE;HALMAHERA TIMUR
66;PAMASUKA;SULAWESI;MANADO;TERNATE;HALMAHERA TENGAH
67;PAMASUKA;SULAWESI;PALU;LUWUK BANGGAI;KEPULAUAN SULA
68;PAMASUKA;MALUKU DAN PAPUA;SORONG;SORONG RAJA AMPAT;KOTA SORONG
69;PAMASUKA;SULAWESI;MANADO;TERNATE;KOTA TERNATE
70;PAMASUKA;SULAWESI;MANADO;TERNATE;KOTA TIDORE KEPULAUAN
71;PAMASUKA;KALIMANTAN;PONTIANAK;SAMBAS;KOTA SINGKAWANG
72;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;MAMBERAMO TENGAH
73;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;YALIMO
74;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;FAKFAK
75;PAMASUKA;MALUKU DAN PAPUA;TIMIKA;MERAUKE;MERAUKE
76;PAMASUKA;KALIMANTAN;PONTIANAK;KHATULISTIWA;KUBU RAYA
77;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;HULU SUNGAI SELATAN
78;PAMASUKA;KALIMANTAN;PALANGKARAYA;PALANGKARAYA OUTER;PULANG PISAU
79;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;PUNCAK JAYA
80;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;KOTA KUPANG;MALAKA
81;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;HULU SUNGAI UTARA
82;PAMASUKA;KALIMANTAN;PONTIANAK;SINTANG;SINTANG
83;PAMASUKA;KALIMANTAN;PONTIANAK;KHATULISTIWA;KOTA PONTIANAK
84;PAMASUKA;KALIMANTAN;BALIKPAPAN;KOTA BALIKPAPAN;PENAJAM PASER UTARA
85;PAMASUKA;SULAWESI;GORONTALO;GORONTALO;BOLAANG MONGONDOW
86;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;PANIAI
87;PAMASUKA;KALIMANTAN;PALANGKARAYA;PALANGKARAYA INNER;KATINGAN
88;PAMASUKA;KALIMANTAN;BANJARMASIN;BATULICIN;TANAH LAUT
89;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;NGADA
90;PAMASUKA;KALIMANTAN;PALANGKARAYA;PALANGKARAYA OUTER;KAPUAS
91;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;DEIYAI
92;PAMASUKA;KALIMANTAN;SAMARINDA;BONTANG;BERAU
93;PAMASUKA;KALIMANTAN;BANJARMASIN;HULU SUNGAI;BARITO KUALA
94;PAMASUKA;KALIMANTAN;BALIKPAPAN;KOTA BALIKPAPAN;PASER
95;PAMASUKA;MALUKU DAN PAPUA;SORONG;MANOKWARI NABIRE;KAIMANA
96;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;NAGEKEO
97;PAMASUKA;KALIMANTAN;PONTIANAK;KHATULISTIWA;KAYONG UTARA
98;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;SUPIORI
99;PAMASUKA;MALUKU DAN PAPUA;JAYAPURA;SENTANI;MAMBERAMO RAYA
100;PAMASUKA;KALIMANTAN;TARAKAN;KALTARA;KOTA TARAKAN
101;PAMASUKA;KALIMANTAN;PONTIANAK;SINTANG;MELAWI
102;PAMASUKA;KALIMANTAN;SAMARINDA;BONTANG;KOTA BONTANG
103;PAMASUKA;KALIMANTAN;TARAKAN;KALTARA;MALINAU
104;JAWA - BALI - NUSRA;BALI NUSRA;KUPANG;FLORES SUMBA;ALOR
